Team,OppFG,OppFGA,OppFG%,Opp3P,Opp3PA,Opp3P%,Opp2P,Opp2PA,Opp2P%,OppFT,OppFTA,OppFT%,OppORB,OppDRB,OppTRB,OppAST,OppSTL,OppBLK,OppTOV,OppPF,OppPTS
Utah Jazz*,37.3,83.0,.449,9.5,26.0,.365,27.8,57.0,.488,15.8,20.5,.771,8.7,33.0,41.6,20.0,8.3,4.6,14.9,20.5,99.8
San Antonio Spurs*,38.2,84.3,.453,9.1,26.3,.348,29.0,58.0,.501,14.3,18.9,.759,9.2,33.3,42.5,21.8,7.6,3.9,14.1,19.7,99.8
Boston Celtics*,37.4,85.0,.440,9.4,27.7,.339,28.0,57.4,.488,16.3,21.3,.763,9.6,34.2,43.8,21.3,7.2,4.4,14.1,19.2,100.4
Miami Heat*,37.7,83.8,.450,9.6,26.6,.360,28.1,57.2,.491,18.0,23.0,.783,9.1,34.0,43.1,21.0,7.5,4.6,14.1,19.4,102.9
Portland Trail Blazers*,38.4,85.9,.447,9.7,26.6,.364,28.7,59.3,.484,16.6,22.0,.755,9.3,33.6,42.9,20.2,7.3,5.1,12.6,19.1,103.0
Toronto Raptors*,38.4,85.6,.449,8.9,25.0,.357,29.5,60.6,.486,18.2,23.7,.767,9.8,32.6,42.4,21.8,7.2,4.9,14.3,19.9,103.9
Houston Rockets*,39.6,85.6,.462,10.1,28.8,.351,29.5,56.7,.519,14.6,19.6,.746,8.7,33.4,42.0,22.4,7.4,4.4,14.6,20.4,103.9
Indiana Pacers*,39.4,84.8,.465,10.6,30.4,.349,28.8,54.4,.530,14.8,19.5,.757,10.2,32.8,43.0,23.2,7.0,5.2,15.5,18.5,104.2
Oklahoma City Thunder*,38.5,84.0,.458,11.2,30.6,.367,27.3,53.4,.511,16.2,21.1,.769,9.5,32.6,42.2,23.3,7.7,4.6,16.0,21.3,104.4
Philadelphia 76ers*,38.0,87.6,.434,10.1,29.6,.342,27.9,58.0,.482,19.1,25.6,.745,10.0,32.2,42.2,21.7,8.5,5.1,14.3,20.4,105.3
Washington Wizards*,39.0,84.4,.462,10.2,29.2,.349,28.8,55.2,.522,17.9,23.5,.761,9.8,32.7,42.5,22.3,7.8,4.7,14.9,20.0,106.0
Milwaukee Bucks*,39.1,83.7,.468,10.1,27.1,.372,29.0,56.6,.513,18.4,23.5,.783,10.0,32.8,42.7,23.6,7.1,4.5,15.6,19.9,106.8
Minnesota Timberwolves*,40.2,84.7,.475,10.9,29.6,.366,29.4,55.0,.534,16.0,20.5,.779,9.8,32.0,41.8,23.9,6.5,4.7,15.1,20.9,107.3
Golden State Warriors*,40.2,90.0,.447,10.4,29.2,.357,29.8,60.8,.490,16.7,22.0,.758,10.9,31.6,42.5,23.6,8.7,3.7,14.3,18.5,107.5
Cleveland Cavaliers*,41.8,88.3,.474,11.7,31.7,.368,30.2,56.6,.533,14.6,19.4,.756,9.9,33.7,43.6,25.9,7.5,4.1,13.5,20.7,109.9
New Orleans Pelicans*,41.7,91.9,.454,10.9,30.6,.355,30.9,61.3,.503,16.1,20.5,.784,10.8,34.7,45.5,23.7,8.2,4.2,14.5,20.4,110.4
