Team,OppFG,OppFGA,OppFG%,Opp3P,Opp3PA,Opp3P%,Opp2P,Opp2PA,Opp2P%,OppFT,OppFTA,OppFT%,OppORB,OppDRB,OppTRB,OppAST,OppSTL,OppBLK,OppTOV,OppPF,OppPTS
Cleveland Cavaliers*,33.8,78.6,.431,5.9,17.6,.333,28.0,60.9,.459,17.8,23.1,.770,10.7,28.2,38.9,19.1,6.3,4.1,13.9,20.3,91.4
San Antonio Spurs*,36.3,80.1,.453,5.5,14.4,.379,30.8,65.7,.469,15.3,19.9,.769,9.1,31.3,40.4,18.1,6.5,4.3,11.7,18.4,93.3
Boston Celtics*,33.7,78.3,.431,6.2,17.7,.349,27.5,60.6,.454,19.8,25.7,.771,10.2,27.4,37.6,18.9,7.1,4.7,14.6,22.2,93.4
Portland Trail Blazers*,35.4,76.9,.460,5.9,15.9,.374,29.4,61.0,.482,17.4,21.7,.803,9.6,26.7,36.3,19.4,6.3,3.9,13.2,21.1,94.1
New Orleans Hornets*,34.8,77.2,.450,7.0,19.8,.354,27.8,57.4,.484,17.7,22.9,.773,10.0,30.0,40.0,20.1,5.8,3.5,13.3,20.4,94.3
Houston Rockets*,36.5,82.1,.444,5.7,15.8,.357,30.8,66.3,.465,15.8,21.1,.749,10.6,29.3,39.9,19.8,7.2,5.3,12.3,20.6,94.4
Orlando Magic*,35.8,82.7,.433,5.4,15.8,.342,30.4,66.9,.454,17.3,23.0,.755,10.5,31.6,42.1,18.1,6.9,3.8,13.1,22.4,94.4
Detroit Pistons*,35.1,77.8,.451,5.3,15.0,.354,29.8,62.8,.474,19.3,24.9,.775,10.5,29.9,40.4,20.1,5.6,4.2,11.8,19.7,94.7
Atlanta Hawks*,36.6,80.6,.454,6.4,18.2,.353,30.2,62.4,.484,16.9,22.0,.769,11.6,30.3,41.9,20.8,6.5,4.3,13.7,20.5,96.5
Philadelphia 76ers*,36.5,79.1,.462,7.1,19.5,.367,29.4,59.7,.493,17.1,21.9,.782,11.4,27.9,39.3,21.9,7.0,4.9,15.6,21.8,97.3
Miami Heat*,35.6,78.2,.455,7.2,18.5,.389,28.4,59.7,.476,19.6,25.4,.771,10.9,30.9,41.9,20.1,6.4,4.1,15.2,19.9,98.0
Los Angeles Lakers*,37.2,83.2,.447,7.1,20.7,.345,30.0,62.5,.481,17.7,23.5,.753,11.7,29.8,41.5,22.6,7.7,4.8,15.5,22.1,99.3
Dallas Mavericks*,37.5,82.3,.455,6.3,16.8,.375,31.1,65.5,.475,18.6,23.3,.798,10.8,30.6,41.4,19.6,7.2,4.1,13.0,20.1,99.8
Denver Nuggets*,36.2,82.2,.440,7.3,20.0,.366,28.8,62.1,.464,21.2,27.2,.782,12.1,29.2,41.2,21.4,7.9,5.5,15.4,23.7,100.9
Utah Jazz*,36.8,79.4,.464,6.5,18.0,.361,30.3,61.3,.494,20.8,27.2,.763,11.1,29.2,40.3,20.0,8.0,5.2,16.1,24.0,100.9
Chicago Bulls*,38.3,83.7,.458,5.9,17.1,.347,32.4,66.6,.486,19.9,25.3,.786,12.4,30.4,42.8,21.0,7.6,5.5,14.4,20.8,102.5
